Historical Data;;;;;;;;
From 2023-06-12 to 2025-06-09;;;;;;;;
FR0003500008;;;;;;;;
Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover
'09/07/2024;7595.97;7601.85;7484.62;7508.66;7508.66;'0;'0;'3567761028
'08/07/2024;7637.89;7746.06;7627.45;7627.45;7627.45;'0;'0;'3041033723
'05/07/2024;7720.54;7738.19;7643.69;7675.62;7675.62;'0;'0;'2512338704
'04/07/2024;7677.34;7701.35;7667.05;7695.78;7695.78;'0;'0;'2408076848
'03/07/2024;7579.64;7662.06;7566.41;7632.08;7632.08;'0;'0;'3466791153
'02/07/2024;7517.65;7543.15;7477.27;7538.29;7538.29;'0;'0;'3284280093
'01/07/2024;7673.48;7688.20;7561.13;7561.13;7561.13;'0;'0;'3847598382
28/06/2024;7544.40;7544.40;7456.47;7479.40;7479.40;'0;'0;'4087526226
27/06/2024;7619.10;7626.38;7522.16;7530.72;7530.72;'0;'0;'3267163933
26/06/2024;7703.80;7707.15;7559.63;7609.15;7609.15;'0;'0;'3615558169
25/06/2024;7648.14;7671.06;7617.16;7662.30;7662.30;'0;'0;'4228331123
24/06/2024;7633.99;7725.28;7629.27;7706.89;7706.89;'0;'0;'3046369463
21/06/2024;7653.14;7673.73;7601.82;7628.57;7628.57;'0;'0;'9999024312
20/06/2024;7585.98;7682.64;7577.92;7671.34;7671.34;'0;'0;'3385597031
19/06/2024;7617.35;7626.13;7566.09;7570.20;7570.20;'0;'0;'3052991166
18/06/2024;7636.69;7641.12;7564.02;7628.80;7628.80;'0;'0;'3421546441
17/06/2024;7539.03;7580.94;7482.38;7571.57;7571.57;'0;'0;'3584643325
14/06/2024;7685.50;7686.89;7464.84;7503.27;7503.27;'0;'0;'6718836177
13/06/2024;7855.37;7858.32;7692.72;7708.02;7708.02;'0;'0;'4293332649
12/06/2024;7813.77;7875.18;7802.01;7864.70;7864.70;'0;'0;'3836865942
11/06/2024;7921.09;7931.72;7759.84;7789.21;7789.21;'0;'0;'4517156718
10/06/2024;7812.52;7893.98;7812.52;7893.98;7893.98;'0;'0;'4818492028
'07/06/2024;8046.92;8048.59;7943.29;8001.80;8001.80;'0;'0;'3420026928
'06/06/2024;8044.29;8055.52;8015.69;8040.12;8040.12;'0;'0;'2963643193
'05/06/2024;7983.03;8036.40;7957.92;8006.57;8006.57;'0;'0;'2819586472
'04/06/2024;7974.44;7984.25;7914.27;7937.90;7937.90;'0;'0;'3286131510
'03/06/2024;8069.62;8072.31;7995.08;7998.02;7998.02;'0;'0;'2673589948
31/05/2024;7972.55;7996.89;7960.17;7992.87;7992.87;'0;'0;'7952215372
30/05/2024;7914.85;7981.08;7914.17;7978.51;7978.51;'0;'0;'2676618646
29/05/2024;8033.56;8040.03;7926.42;7935.03;7935.03;'0;'0;'3349861455
28/05/2024;8134.72;8148.76;8041.02;8057.80;8057.80;'0;'0;'2924307763
27/05/2024;8088.34;8132.49;8086.76;8132.49;8132.49;'0;'0;'1762512018
24/05/2024;8053.79;8104.07;8042.30;8094.97;8094.97;'0;'0;'2577306778
23/05/2024;8104.31;8135.81;8082.48;8102.33;8102.33;'0;'0;'2540792011
22/05/2024;8128.58;8128.58;8078.50;8092.11;8092.11;'0;'0;'3010975829
